nombre,url,origen,idioma,licencia,tipo_proyecto
La argentina manuscrita,http://hdlab.space/La-Argentina-Manuscrita/,"Buenos Aires, Argentina",es,CC BY 4.0,"Edición digital, Georeferenciación y anotación semántica"
Family Letters,https://familyletters.unl.edu/en/,"Lincoln, Nebraska","es, en",CC BY-NC-SA 3.0,"Edición digital, Georeferenciación y base de datos"
Digital Nollywood,https://digitalnollywood.ku.edu/,Nigeria,"en, yo",None,"Base de datos, imágenes"
Asian Shakespeare Intercultural Archive,http://a-s-i-a-web.org/en/home.php,Singapur,"en, cn, jp, kr",Copyright 2015,"Base de datos, videos, texto"
Patristic Text Archive,https://pta.bbaw.de/pta/,"Berlín, Alemania","en, la, de",CC-BY-SA,"Base de datos, TEI, Texto"
Intercambios Oceánicos,https://intercambiosoceanicos.iib.unam.mx/,Ciudad de México,es,CC BY-NC-SA 4.0,"Periódicos, herramientas lingüísticas"
Digging in to Early Colonial Mexico ,https://www.lancaster.ac.uk/digging-ecm,"Lancaster, Lancashire, England","en, es",Copyright U de Lancaster,"Corpus, Text Mining, Natural Language Processing, Machine Learning y Geographic Information Systems"
CEISMIC. Digital Archive of the Canterbury earthquakes,http://www.ceismic.org.nz,"Christchurch, New Zealand",en,Copyright Universidad de Canterbury,"Archivo digital, imágenes, texto, audio, video"
Sefaria,https://www.sefaria.org,Israel,"en, he",None,"Base de datos, textos, traducciones y comentarios"
Biblioteca Digital de Humanidades,https://www.uv.mx/bdh/,"Veracruz, Mexico",es,Copyright Universidad Veracruzana,Biblioteca digital